,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode
691,Trippie Redd,Can't Love,2dKtWPLZvbCzwLRliNn8UI,gibberish,0.567,0.168,135.991,0.0525,0.00244,1.89e-05,0.842,4,169412,-6.504,0.256,0
692,Lil Uzi Vert,Erase Your Social,4uhvMW7ly7tJil31YYscAN,gibberish,0.609,0.234,140.058,0.0729,0.694,0.0,0.705,3,199993,-5.728,0.718,1
693,Lil Uzi Vert,You Was Right,2ANLarE8yHVsLWW21nj79M,gibberish,0.359,0.12,81.987,0.461,0.069,0.0,0.843,0,163944,-7.417,0.156,1
694,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,gibberish,0.757,0.106,82.008,0.05,0.617,0.0,0.703,1,221747,-3.612,0.696,1
695,Lil Yachty,66,6tarvNiKnEjYMj1VZhlDqR,gibberish,0.723,0.213,148.057,0.27,0.0455,0.000179,0.667,5,153475,-4.31,0.251,0
696,Lil Yachty,Forever World (feat. Trippie Redd),1tKvqOrnJ0zhAuFS6yfNTk,gibberish,0.523,0.378,172.067,0.213,0.589,5.23e-05,0.578,11,301395,-8.522,0.476,0
697,Lil Yachty,Nolia (feat. Kevin Gates),0oK6aZFtGPCCQ83lChpGO3,gibberish,0.483,0.0991,132.954,0.457,0.144,0.0,0.813,3,202105,-8.044,0.398,0
698,Lil Yachty,"Everything Good, Everything Right",0EDM6J5Z4au6l7e4LUJ3Zb,gibberish,0.716,0.128,139.944,0.0326,0.037,0.116,0.712,7,178417,-5.217,0.142,1
699,Rae Sremmurd,Offshore (feat. Young Thug) - From Swaecation,5J6D8QvlGZw9g5x38fAnjE,gibberish,0.65,0.0851,99.951,0.0425,0.0109,0.0,0.713,10,328488,-5.187,0.12,1
700,Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,gibberish,0.366,0.261,119.985,0.0941,0.0996,0.0,0.91,1,152000,-9.954,0.74,1
