,Artist,Name,ID,Playlist,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Danceability,Key,Duration,Loudness,Valence,Mode,Clusters
1280,GOLDN,honest,3kuvcKLNgCMzT3aynzZCHR,singed,0.5660000000000001,0.124,176.113,0.0436,0.195,0.0,0.6509999999999999,2,213039,-6.188,0.37799999999999995,1,1
1281,GOLDN,dying together,703SHNf8XtJnM3gtryjyJ6,singed,0.529,0.22,95.08,0.0399,0.6970000000000001,0.00114,0.794,11,156217,-6.982,0.583,0,2
1282,blackbear,4u,1XcXhu1X0xBFMDFyq0b7Ue,singed,0.513,0.0642,153.934,0.0872,0.392,0.0,0.7759999999999999,5,158571,-6.757000000000001,0.813,1,0
1283,blackbear,wish u the best,3yeY4xWT8YgILRFRdfb5KY,singed,0.493,0.107,114.944,0.221,0.0217,0.0,0.7979999999999999,2,154452,-6.103,0.534,0,0
1284,Quinn XCII,Good Friend,5LbH8qnrkcd3A3VV6GNrzW,singed,0.6779999999999999,0.149,143.05200000000002,0.0448,0.111,0.0,0.66,0,223000,-7.846,0.354,0,1
1285,Quinn XCII,Tough (feat. Noah Kahan),3a1Zmq0P1E6W80x8EOcVNP,singed,0.57,0.111,93.125,0.0554,0.38799999999999996,0.0,0.7290000000000001,10,178133,-7.047000000000001,0.687,1,0
1286,GOLDN,heartbreak drugs,6oLFEga6nmSjDFOo8Nq3z8,singed,0.441,0.0744,160.06,0.255,0.0155,0.0,0.8170000000000001,1,172058,-6.971,0.48200000000000004,0,1
1287,GOLDN,love me blind,1e3K39VoThaKYyoHX0Z3TA,singed,0.565,0.35,118.962,0.0447,0.0643,0.0031899999999999997,0.374,1,209736,-7.222,0.0683,1,1
1288,Lauv,Sad Forever,4a5zacCsHLtMC2mcxkqWwn,singed,0.5379999999999999,0.0825,117.319,0.10400000000000001,0.46799999999999997,0.0,0.527,5,203507,-7.434,0.389,1,2
1289,Tinashe,Pretend,6phKkVuSzTNEriX3uciCb5,singed,0.45,0.138,89.598,0.193,0.26899999999999996,2.52e-05,0.384,6,232787,-10.485,0.0874,0,1
1290,Alec Benjamin,Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,singed,0.475,0.122,178.093,0.0727,0.8220000000000001,0.0009689999999999999,0.5920000000000001,7,179300,-11.09,0.369,1,2
1291,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,singed,0.65,0.37200000000000005,167.78799999999998,0.128,0.42200000000000004,0.000275,0.552,1,180019,-7.199,0.316,1,2
1292,Quinn XCII,Stacy,1pyGo7knT3LE2I1FJIrwdX,singed,0.551,0.0971,104.935,0.037000000000000005,0.0889,0.0,0.7609999999999999,8,168893,-7.14,0.478,1,0
1293,GOLDN,heaven come,2lTpnVnrqmYfAlgUNRfDSR,singed,0.54,0.115,119.985,0.0418,0.183,0.292,0.8009999999999999,2,176228,-7.537999999999999,0.502,0,0
1294,gnash,i'm so sad,7AlqccvNLaEPyDlZUWZFWd,singed,0.245,0.08199999999999999,81.964,0.175,0.46299999999999997,0.0449,0.8190000000000001,9,121008,-13.648,0.237,1,2
1295,Lauv,I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,singed,0.505,0.10400000000000001,91.97,0.253,0.535,2.55e-06,0.752,9,197437,-7.621,0.419,1,2
1296,Quinn XCII,U & Us,6SL7KzIA96f0HiKjuv7tED,singed,0.73,0.187,130.025,0.0425,0.087,0.0026899999999999997,0.605,4,226000,-7.871,0.263,1,1
1297,Xuitcasecity,Need Somebody,3UmtRRyDBhjHzaMpG351F0,singed,0.647,0.20800000000000002,89.79299999999999,0.188,0.252,0.0,0.424,9,188220,-6.556,0.262,1,1
1298,PRETTYMUCH,Lying (feat. Lil Tjay),6x8V3kUNlhVbwRbVP0QeSS,singed,0.75,0.166,142.023,0.0625,0.00367,0.0,0.594,11,203676,-3.693,0.32799999999999996,0,1
1299,PRETTYMUCH,Phases,3je88Q4OvTqIx7BFRFYvRA,singed,0.636,0.0676,105.93,0.131,0.16899999999999998,0.0,0.77,11,215760,-6.724,0.49200000000000005,0,0
1300,August Alsina,No Love,7ewfvLrlI0VNht4vEnoTMh,singed,0.615,0.856,130.967,0.153,0.00543,0.0,0.462,0,276080,-7.982,0.344,0,1
1301,August Alsina,Kissin' On My Tattoos,4MOXruB3ARc4PePI6IkGO7,singed,0.625,0.364,120.133,0.0423,0.00648,0.0,0.5770000000000001,2,251893,-8.346,0.184,0,1
